singular nouns,plural nouns,class,,,,,,,,,
nkhope,nkhope,i-zi,,,,,,,,,
mbuzi,mbuzi,i-zi,,,,,,,,,
m'bale,abale,mu-a,,,,,,,,,
dothi,madothi,li-ma,,,,,,,,,
tsamba,masamba,li-ma,,,,,,,,,
chovala,zovala,chi-zi,,,,,,,,,
mnyamata,anyamata,mu-a,,,,,,,,,
munda,minda,mu-mi,,,,,,,,,
chombo,zombo,chi-zi,,,,,,,,,
mngelo,angelo,mu-a,,,,,,,,,
dzina,maina,li-ma,,,,,,,,,
mtengo,mitengo,mu-mi,,,,,,,,,
gulu,magulu,li-ma,,,,,,,,,
lirime,malirime,li-ma,,,,,,,,,
fuko,mafuko,li-ma,,,,,,,,,
chikhomo,zikhomo,chi-zi,,,,,,,,,
mlendo,alendo,mu-a,,,,,,,,,
liwu,mawu,li-ma,,,,,,,,,
sukulu,sukulu,i-zi,,,,,,,,,
nkazi,akazi,mu-a,,,,,,,,,
mphaka,mphaka,mu-a,,,,,,,,,
boma,maboma,li-ma,,,,,,,,,
buku,mabuku,li-ma,,,,,,,,,
munthu,anthu,mu-a,,,,,,,,,
phiri,mapiri,li-ma,,,,,,,,,
dzuwa,dzuwa,li-ma,,,,,,,,,
njovu,njovu,i-zi,,,,,,,,,
msika,misika,mu-mi,,,,,,,,,
chimbuzi,zimbuzi,chi-zi,,,,,,,,,
mlamba,milamba,mu-mi,,,,,,,,,
chipinda,ziphinda,chi-zi,,,,,,,,,
chikondi,chikondi,chi-zi,,,,,,,,,
ngolo,ngolo,i-zi,,,,,,,,,
mchombo,michombo,mumi,,,,,,,,,
chikopa,zikopa,chi-zi,,,,,,,,,
chisomo,zisomo,chi-zi,,,,,,,,,
mwana,ana,mu-a,,,,,,,,,
mbusa,abusa,mu-a,,,,,,,,,
mtsikana,atsikana,mu-a,,,,,,,,,
bankha,abankha,mu-a,,,,,,,,,
kalulu,akalulu,mu-a,,,,,,,,,
mutu,mitu,mu-mi,,,,,,,,,
mudzi,midzi,mu-mi,,,,,,,,,
mwambi,miyambi,mu-mi,,,,,,,,,
mwezi,miyezi,mu-mi,,,,,,,,,
mzere,mizere,mu-mi,,,,,,,,,
mwazi,mwazi,mu-mi,,,,,,,,,
mkaka,mkaka,mu-mi,,,,,,,,,
mtedza,mtedza,mu-mi,,,,,,,,,
mphweya,mphweya,mu-mi,,,,,,,,,
mchere,mchere,mu-mi,,,,,,,,,
mpunga,mphunga,mu-mi,,,,,,,,,
lamulo,malamulo,li-ma,,,,,,,,,
lalanje,malalanje,li-ma,,,,,,,,,
lembo,malembo,li-ma,,,,,,,,,
bere,mabere,li-ma,,,,,,,,,
fano,mafano,li-ma,,,,,,,,,
dzira,mazira,li-ma,,,,,,,,,
gawo,magawo,li-ma,,,,,,,,,
khutu,makutu,li-ma,,,,,,,,,
tchimo,machimo,li-ma,,,,,,,,,
madzi,madzi,li-ma,,,,,,,,,
manda,manda,ku-pa-mu,,,,,,,,,
mantha,mantha,li-ma,,,,,,,,,
chala,zala,chi-zi,,,,,,,,,
cheke,zeke,chi-zi,,,,,,,,,
chibaluwa,zibaluwa,chi-zi,,,,,,,,,
chibakera,zibakera,chi-zi,,,,,,,,,
chimanga,zimanga,chi-zi,,,,,,,,,
chichewa,chichewa,chi-zi,,,,,,,,,
chilungamo,chilungamo,chi-zi,,,,,,,,,
mpanda,mipanda,mu-mi,,,,,,,,,
